respondent_id,years_since_first_design_project,"Before this course, have you used traditional rendering methods (such as such as modeling with SketchUp/Rhino/Revit, rendering with VRay/Lumion/Enscape, or image editing with Photoshop/Illustrator) to create images?",How would you rate your experience with traditional rendering methods? (Photoshop),Have you used AI-generative tools to generate images?,"Compared to traditional rendering, for each of the following aspects, please indicate the advantages of AI-generated images",Realsim [Overall quality and realism of the image?],Realsim [Material],Realsim [Scale],Realsim [Lighting and shadow],"Design Rationality [Integration with surroundings (eg. landscape elements, nearby structures)?)]",Design Rationality [Layout and functionality],Design Rationality [Meeting prompt requirements],Adherence to Instructions [Reflecting the intended style],Adherence to Instructions [Logical and practical coherence],Adherence to Instructions [Accuracy of key element representation],Adherence to Instructions [Style or aesthetic appeal],Will you apply AI tools in your future project?,"Reflecting on your experience, please share your thoughts on using AI-generated images for this project."
R25,2,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications","Cost, Speed of image generation, Quality and clarity of the generated image",Good,Good,Good,Good,Good,Good,Good,Neutral,Good,Good,Good,Yes,
R26,1,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Sketchup Diffusion","Cost, Tool usability, Quality and clarity of the generated image, Customizability of generated images",Neutral,Poor,Good,Good,Neutral,Neutral,Neutral,Neutral,Good,Good,Neutral,Yes,
R27,2,Yes,Very satisfied,"ChatGPT, Copliot, or other text-based AI applications","Speed of image generation, Quality and clarity of the generated image, Customizability of generated images",Poor,Poor,Good,Good,Very poor,Neutral,Very poor,Excellent,Neutral,Poor,Good,Yes,"I think our project is too dimensional to get the results we 100% want, but as our choices are limited, we will continue to use it."
R28,0.5,No,Satisfied,"ChatGPT, Copliot, or other text-based AI applications","Cost, Speed of image generation, Customizability of generated images",Good,Good,Good,Neutral,Neutral,Good,Good,Good,Good,Good,Good,Yes,I think AI generated photos are excellent tools for making a design project as long as the design doesn't have too many crazy features that may blend or become misinterpreted
R29,1.5,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Cost, Tool usability, Speed of image generation",Good,Good,Neutral,Good,Neutral,Good,Poor,Neutral,Neutral,Neutral,Good,Yes,"Using AI-generated images is a very interesting & fun experience and I think it is valuable to be able to use and take advantage of in this day and age. Even if it doesn't do exactly what is wanted, it can lead you to new ideas. With time and consistency, it becomes something that can be used for representation, especially for studio projects where it is meant to be imaginative. It would be nice if it developed to adhere to a whole prompt rather than only certain buzzwords from the prompts. Overall I believe that AI-generated images should be further explored and developed in studio as long as it is explicitly clear that it was AI-generated."
R30,0,Yes,Dissatisfied,"Midjourney, Sketchup Diffusion","Speed of image generation, Customizability of generated images",Neutral,Neutral,Good,Neutral,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,Yes,There still needs to be improvements with the software but from where it has come its a good option for people to use
R31,3,Yes,Satisfied,Sketchup Diffusion,Speed of image generation,Good,Neutral,Good,Good,Poor,Neutral,Neutral,Neutral,Poor,Good,Good,Yes,I did not think I will use AI in the future unless it increases in quality. I think it is good for helping come up with new ideas however I would like to apply my own knowledge and capabilities to a project.
R32,1,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney","Cost, Speed of image generation",Good,Excellent,Poor,Good,Very poor,Very poor,Good,Excellent,Good,Good,Good,No,"I generally do not find AI very useful in a project, however it is very quick and easy tool for demonstrating potential ideas if you don't have need to render traditionally. I also think the mistakes of AI can be somewhat useful to exploring ideas in your project that you may not have thought of before."
R33,1,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Sketchup Diffusion","Tool usability, Quality and clarity of the generated image, Customizability of generated images",Good,Good,Good,Good,Good,Good,Good,Good,Good,Neutral,Good,Yes,It is a good tool to depict images but is not 100% accurate in what I want to show sometimes.
R34,1.5,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney","Tool usability, Customizability of generated images",Neutral,Good,Good,Neutral,Neutral,Good,Neutral,Neutral,Good,Good,Excellent,Yes,
R35,6,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Tool usability, Speed of image generation",Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Yes,It really helped advance the project through the design stage. It also led to some crucial decisions to be made in the project. Overall AI helped the project and it was worth the time investment to use it at the time of the initial design stages.
R36,2,Yes,Satisfied,"Midjourney, Stable diffusion",Speed of image generation,Poor,Poor,Neutral,Good,Poor,Good,Good,Poor,Good,Poor,Neutral,No,"I think it is a good way to quickly generate a concept image of something based on a rough model that is already made. However, I would never use it for the final product of a project."
R37,3,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others",Speed of image generation,Excellent,Excellent,Excellent,Good,Neutral,Poor,Very poor,Very poor,Neutral,Very poor,Good,Yes,"Mid journey is great for project conceptualization and blending concepts together but I would not use it for anything else because of its poor prompt recognition and lack of ability to disable geometry override like in Veras, the price leaves me unsure of whether I’d use it again. Chat gpt generates three free images a day but it lacks the features of midjourney. Veras has been used in 1st year for material assignment and it is great for blending buildings into the landscape but has terrible prompt adherence and should not be implemented in lieu of real renderers like Cycles, Twinmotion, Vray, etc."
R38,2,Yes,Moderate,Midjourney,"Quality and clarity of the generated image, Customizability of generated images",Good,Good,Good,Good,Neutral,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,
R39,1,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Sketchup Diffusion","Speed of image generation, Quality and clarity of the generated image",Good,Neutral,Neutral,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Neutral,Good,Yes,For the last project it was difficult to generate an image that have all the elements that we wanted to visually implement in our project. None of the images were exactly what we wanted but they close to the main idea of the project.
R40,2,No,Satisfied,"Midjourney, Others",Speed of image generation,Poor,Neutral,Good,Good,Poor,Poor,Poor,Neutral,Poor,Poor,Neutral,No,"They are good for quick ideas but do not allow for much control over the final render, so the time saved by using AI is often wasted fixing everything wrong with the render. I think it can be helpful to get ideas, but I would not use it over a traditional render."
R41,1,Yes,Satisfied,"Midjourney, Others","Tool usability, Speed of image generation, Customizability of generated images",Good,Good,Good,Excellent,Good,Good,Good,Good,Neutral,Good,Excellent,Yes,"I think using AI helped us get a grasp of how we wanted or intended our project to look at a more realistic scale rather than just seeing our project in more of an abstract way. It also allowed us to test different materials and what worked best. Due to seeing our project in a more realistic way it then allowed us to see what changes we could make, if any."
R42,0,No,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Cost, Tool usability, Speed of image generation, Quality and clarity of the generated image",Neutral,Good,Good,Excellent,Neutral,Poor,Poor,Neutral,Poor,Poor,Good,Yes,I think that it was very helpful for gaining ideas and to use as reference but I struggled with writing prompts. I think that one i figure out how to better create prompts I will have a better time using AI rendering.
R43,2,Yes,Satisfied,"Midjourney, Others","Cost, Tool usability, Speed of image generation",Good,Neutral,Poor,Excellent,Good,Good,Neutral,Good,Good,Good,Excellent,Yes,
R44,2,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Sketchup Diffusion","Tool usability, Speed of image generation, Customizability of generated images",Neutral,Poor,Good,Excellent,Good,Neutral,Good,Good,Good,Good,Good,Yes,
R45,0.5,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Sketchup Diffusion","Speed of image generation, Others",Neutral,Good,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,"I prefer to not use AI-generated, but it is easier to brainstorm ideas using AI-generated images to see if what I am thinking is what I want. It was fairly easy to use, but it was still clunky and not perfect, as any AI is."
